date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_cargo,portcalls,import_container,export_container
2022-04-08,2022,4,8,port1201,Singapore,Singapore,SGP,40,51,125,897924,487572
2022-04-09,2022,4,9,port1201,Singapore,Singapore,SGP,34,49,118,833534,686721
2022-04-10,2022,4,10,port1201,Singapore,Singapore,SGP,41,51,117,487670,674936
2022-04-11,2022,4,11,port1201,Singapore,Singapore,SGP,40,58,152,226324,686116
2022-04-12,2022,4,12,port1201,Singapore,Singapore,SGP,45,57,126,687896,542784
2022-04-13,2022,4,13,port1201,Singapore,Singapore,SGP,33,53,120,556907,491593
2022-04-14,2022,4,14,port1201,Singapore,Singapore,SGP,29,44,120,590515,399527
2022-04-15,2022,4,15,port1201,Singapore,Singapore,SGP,37,48,107,895389,579244
2022-04-16,2022,4,16,port1201,Singapore,Singapore,SGP,40,52,123,489612,796749
2022-04-17,2022,4,17,port1201,Singapore,Singapore,SGP,41,58,111,903742,471045
2022-04-18,2022,4,18,port1201,Singapore,Singapore,SGP,33,47,132,409592,457445
2022-04-19,2022,4,19,port1201,Singapore,Singapore,SGP,30,37,100,237938,634354
2022-04-20,2022,4,20,port1201,Singapore,Singapore,SGP,38,48,121,428494,774519
2022-04-21,2022,4,21,port1201,Singapore,Singapore,SGP,38,49,118,468665,1097852
2022-04-22,2022,4,22,port1201,Singapore,Singapore,SGP,34,45,111,928114,601926
2022-04-23,2022,4,23,port1201,Singapore,Singapore,SGP,30,40,110,486412,567735
2022-04-24,2022,4,24,port1201,Singapore,Singapore,SGP,29,41,88,569515,541774
2022-04-25,2022,4,25,port1201,Singapore,Singapore,SGP,33,52,129,899898,410559
2022-04-26,2022,4,26,port1201,Singapore,Singapore,SGP,37,49,116,247103,565028
2022-04-27,2022,4,27,port1201,Singapore,Singapore,SGP,42,50,119,788790,656359
2022-04-28,2022,4,28,port1201,Singapore,Singapore,SGP,29,38,111,690655,442664
2022-04-29,2022,4,29,port1201,Singapore,Singapore,SGP,34,43,112,909116,666098
2022-04-30,2022,4,30,port1201,Singapore,Singapore,SGP,35,52,118,443711,568999
2022-05-01,2022,5,1,port1201,Singapore,Singapore,SGP,35,48,99,335422,668606
2022-05-02,2022,5,2,port1201,Singapore,Singapore,SGP,35,42,135,780711,790037
2022-05-03,2022,5,3,port1201,Singapore,Singapore,SGP,32,45,105,685651,320679
2022-05-04,2022,5,4,port1201,Singapore,Singapore,SGP,34,44,125,705058,507300
2022-05-05,2022,5,5,port1201,Singapore,Singapore,SGP,41,60,136,464494,648139
2022-05-06,2022,5,6,port1201,Singapore,Singapore,SGP,41,53,118,569747,479127
2022-05-07,2022,5,7,port1201,Singapore,Singapore,SGP,29,45,113,366855,624759
2022-05-08,2022,5,8,port1201,Singapore,Singapore,SGP,38,48,102,992632,629418
2022-05-09,2022,5,9,port1201,Singapore,Singapore,SGP,38,57,133,378661,778597
2022-05-10,2022,5,10,port1201,Singapore,Singapore,SGP,36,47,124,509594,770816
2022-05-11,2022,5,11,port1201,Singapore,Singapore,SGP,36,51,134,1041591,495666
2022-05-12,2022,5,12,port1201,Singapore,Singapore,SGP,38,48,117,359627,852687
2022-05-13,2022,5,13,port1201,Singapore,Singapore,SGP,31,35,102,617195,740730
2022-05-14,2022,5,14,port1201,Singapore,Singapore,SGP,33,50,111,196555,863378
2022-05-15,2022,5,15,port1201,Singapore,Singapore,SGP,31,38,109,575353,377236
2022-05-16,2022,5,16,port1201,Singapore,Singapore,SGP,30,44,124,436526,605476
2022-05-17,2022,5,17,port1201,Singapore,Singapore,SGP,37,51,128,565007,557010
2022-05-18,2022,5,18,port1201,Singapore,Singapore,SGP,39,55,129,599818,981558
